District,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Percentage of Population with Comorbidities Risk in the Household,Average Total Risk Score
Madhubani,4.507385879,4.669909423,0.518102416,3.694993804,0.404856966,11.15767164
Maharajganj,4.048850614,3.803476862,0.437945455,2.9784787,0.435996115,10.34258121
Mahbubnagar,3.789907572,3.591304733,0.174474587,2.356105677,0.379648011,8.909702737
Mahoba,3.632390392,3.237799842,0.345108229,2.243680154,0.322281777,8.006691135
Mainpuri,4.546048613,2.863233174,0.358495626,2.812959274,0.378331484,10.11572884
Maldah,3.975357697,4.974362442,0.655782047,3.315201658,0.320352511,9.330149959
Mandya,2.652053197,2.097679158,0.042960157,1.427538579,0.440063581,7.406469503
Mathura,4.237668421,2.121642593,0.159738224,3.099756793,0.441038334,10.6228429
Mau,4.420180193,2.768507788,0.338599915,3.29710969,0.489808256,11.52009992
Medak,3.844390678,3.015685974,0.140390165,2.667803197,0.472499624,10.14698889
Meerut,3.603889338,1.745799427,0.131706862,1.546347845,0.420283942,8.242479862
Mewat,4.422608096,2.594324977,0.214271286,3.992309683,0.503111382,12.41491778
Mirzapur,4.408360864,3.39468585,0.358127668,3.288991355,0.392194437,10.50473638
Moradabad,3.846693614,2.436534879,0.294275357,2.242363811,0.360098846,8.604629903
Morena,4.407909907,3.459444966,0.413566534,2.936533047,0.330925723,9.344442955
Mumbai,3.206988422,1.481210969,0.048579443,2.725599385,0.420038624,9.030151675
Mumbai Suburban,3.027544663,1.558417723,0.043554384,3.38210241,0.356599813,8.888072794
Munger,4.256808795,3.378891431,0.418883123,2.187175779,0.412627282,9.468334339
Muzaffarnagar,3.846486981,1.994056645,0.190810045,1.765765587,0.441794328,8.922180831
Muzaffarpur,4.005631569,4.308574457,0.435310253,3.940778292,0.419087568,11.00766531
Mysore,2.882935028,2.023885753,0.037810356,1.934105218,0.432190311,8.065424141
Nagpur,2.939926384,1.814406287,0.066609308,3.040997595,0.474845624,9.598406458
Nainital,2.942206655,4.140980736,0.48520873,2.718038529,0.485663454,9.602451839
Nalanda,3.899525752,3.373429295,0.470149474,2.722396235,0.422811078,9.696282042
Nanded,3.788035727,2.590619404,0.143917216,3.621949611,0.486824644,11.1574551
Nandurbar,3.802677481,3.263375959,0.216276278,2.598960802,0.425430397,9.550517245
Narayanpur,3,4.947074256,0.226953578,3.865632485,0.38316772,9.615147713
Narmada,4.035468084,3.941261059,0.3075958,3.395395824,0.405614861,10.41125248
Nashik,3.297560543,1.949284063,0.092639271,2.184629768,0.487839311,9.209510869
Navsari,3.419773228,4,0.312714982,4.530535389,0.45417715,11.57813307
Nawada,4.043979193,3.901972897,0.530074478,3.573111194,0.401405534,10.55696489
New Delhi,3.032895198,2.011878605,0.012748872,2.5256334,0.317631676,7.584786744
Nizamabad,4.040341451,3.154908802,0.177841136,3.85871014,0.475819182,11.6646802
North,3.048822873,1.897734896,0.016814987,2.686226569,0.43946346,8.987373049
North East,3.041314792,1.624030374,0.017010999,2.683546208,0.398876324,8.569367046
North Goa,2.198770097,1.894641422,0.059398207,1.524820528,0.538443357,7.999561698
North West,3.017430644,1.847764523,0.030642967,2.695805175,0.406756654,8.586266094
Osmanabad,3.738385233,2.437531835,0.119791422,3.202471456,0.523802398,11.01230728
Palamu,3.752310442,4.688927709,0.530640982,3.977995084,0.36789293,10.28328119
Palwal,4.03699608,2.285260809,0.217817754,2.785308531,0.480232209,10.52706003
Panipat,4,2.299434843,0.250486946,1.292215118,0.478060389,8.945297432
Panna,3.712363826,4.834986752,0.489417892,4.765855726,0.332444882,10.55540405
Parbhani,3.720753567,2.496610164,0.128189988,2.59745824,0.496938569,10.16119036
Pashchim Champaran,4.129442114,4.685927974,0.509805515,3.524477443,0.425585237,10.77147725
Patna,3.662958628,2.678075757,0.289830213,2.847858199,0.439541545,9.761422365
Pilibhit,3.821487636,3.546252411,0.469842941,1.780122511,0.352631603,7.992265647
Pratapgarh,4.39122919,3.733757267,0.395334574,4.093240998,0.431406086,11.66029535
Pune,2.937940094,1.695077812,0.045387452,2.381599344,0.449869264,8.700053061
Purba Champaran,4.072716797,4.706471777,0.476570428,3.533014798,0.412419855,10.60690542
Purnia,4.24418016,4.442483557,0.567423472,3.691001265,0.366668304,10.49308408
Rae Bareli,4.318770675,3.71981131,0.436548602,3.518458386,0.375897926,10.55064139
Raichur,3.842931247,3.096070461,0.102044941,1.679390135,0.377676766,8.193379922
Raigarh,2.750138661,1.941246964,0.065936302,2.851563496,0.398038362,8.495903424
Rajnandgaon,2.967780616,4.077926741,0.291731907,4.615088102,0.386441852,10.43781374
Ramanagara,2.795854398,2.202647171,0.032497138,1.552370069,0.473806719,7.968614522
Rampur,3.852998272,2.653777385,0.348601221,1.85808671,0.36938468,8.293156956
Rangareddy,3.285755891,2.220519308,0.114372097,2.618100239,0.418554123,9.016554875
Ratnagiri,2.09624309,2.606909309,0.104803317,2.378609933,0.539869188,8.707360502
Rewa,4.013430349,4.530299654,0.504269788,3.683536706,0.331688865,9.938728789
Rohtas,3.967357712,3.245131854,0.430392241,3.782892355,0.432160719,10.92821858
Sagar,3.732804112,4.22002323,0.561366594,4.362551787,0.331911332,10.18877752
Saharanpur,3.751324778,2.067055962,0.215383917,1.636828745,0.376830896,8.022667043
Saharsa,4.826415372,4.727562693,0.600197716,4.008156881,0.39166766,11.74930036
