LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Ohaji/Egbema,3.614387922,2.06248387,1.003690857,1.342062537,4.651871844,9.608322303
Okigwe,3.979762844,2.43549096,1.001886288,1.025991793,4.995681081,10.00143572
Orlu,4,1.976327056,1,1.004860105,5,10.0048601
Orsu,4,2,1,1,5,10
Oru East,4,2.01565956,1,1,5,10
Oru West,4,1.779624001,1,1,5,10
Owerri Municipal,3.999708004,1.026239791,1,1.079322582,5,10.07903059
Owerri North,3.996182583,1.733648886,1,1.11899205,4.995935616,10.11111025
Owerri West,3.87810515,1.89412161,1,1.050291164,4.913395935,9.841792248
Unuimo,4,2.316404913,1,1.020903003,5,10.020903
Akoko North East,4.764142178,2.800097171,1.014702002,1.018510004,4.80554619,10.58819837
Akoko North West,4.586618144,2.787697691,1.041236194,1.01796033,4.902730304,10.50730878
Akoko South East,4.83783286,3.08101921,1.04720729,1.009160725,4.835085531,10.68207912
Akoko South West,4.831218917,2.74928676,1.001980952,1.11027223,4.887453941,10.82894509
Akure North,4.429222626,2.381321301,1.056765086,1.350612197,4.733877584,10.51371241
Akure South,4.087067508,1.600124602,1.00297749,1.476405165,4.988286171,10.55175884
Ese Odo,3.941216919,3.612149572,1.265185956,3.744322795,4.666771893,12.35231161
Idanre,4.003663959,3.286419315,1.068889484,2.440487018,4.267971065,10.71212204
Ifedore,4.6069924,2.654353947,1.009828618,2.037431267,4.980470689,11.62489436
Ilaje,3.769229676,3.562949802,1.411548726,3.794681378,4.681140173,12.24505123
Ile Oluji/Okeigbo,3.936401752,3.358540551,1.030201578,2.533941057,4.914278654,11.38462146
Irele,3.941915422,3.745130122,1.14137216,3.651947617,4.678596897,12.27245994
Odigbo,4.168078332,3.317435009,1.063963022,2.986570524,4.543386794,11.69803565
Okitipupa,4.062791023,3.135463718,1.077762186,3.003771342,4.828363377,11.89492574
Ondo East,3.978162998,3.39143295,1,2.324506109,4.642367563,10.94503667
Ondo West,4.167088566,2.785753143,1.001517815,2.482876462,4.839370813,11.48933584
Ose,4.33500326,3.510541398,1.586207914,1.653616912,4.285850107,10.27447028
Owo,4.660347346,2.724001118,1.071746738,1.339691445,4.747734302,10.74777309
Abua/Odual,3.566208987,2.291222336,1.050992406,2.583725388,4.872670274,11.02260465
Ahoada East,3.887383923,1.770377784,1,1.328128402,4.938096878,10.1536092
Ahoada West,3.849237733,1.663581036,1,1.818173681,4.968741173,10.63615259
Akuku Toru,3.410712612,2.737790751,1.254942133,4.545164758,4.913311861,12.86918923
Andoni,3.977956302,2.780909082,1.654923727,2.690227532,5,11.66818383
Asari-Toru,3.953709544,2.090169911,1.031132585,1.222026251,5,10.17573579
Bonny,3.940789571,1.866661723,1.2385181,3.722370759,4.972731995,12.63589233
Degema,3.906205829,2.178923655,1.053913931,3.075845374,4.971518615,11.95356982
Eleme,4,1.116849996,1.003646637,1.137849365,4.996685835,10.1345352
Emuoha,3.724972725,2.11551772,1.00282297,1.877577873,4.698670318,10.30122092
Etche,3.820317017,2.152541642,1.038783389,1.459698746,4.902495297,10.18251106
Gokana,4,2.447861593,1.207585142,1.257193764,5,10.25719376
Ikwerre,3.664519987,1.840848815,1.008539909,1.56882345,4.719617656,9.952961093
Khana,3.991159108,2.989435504,1.388870555,1.878248587,4.976385298,10.84579299
Obio/Akpor,4,1.030264206,1,1.033961513,5,10.03396151
Ogba/Egbema/Ndoni,3.829625571,1.527864476,1.019029049,1.821310658,4.864195939,10.51513217
