LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Bebeji,3.922551434,4.784078658,2.759728541,1.216576481,4.15069261,9.289820525
Bichi,3.99432673,4.521759821,2.61243587,1.000686445,4.45865798,9.453671155
Bunkure,3.978090132,4.808983744,3.118966083,1.084466826,4.362475004,9.425031963
Dala,4,1.519204171,1,1,5,10
Dambatta,3.998995929,4.533463687,2.94985096,1.006277593,4.11868438,9.123957902
Dawakin Kudu,4,4.163189101,2.516469696,1,4.818715929,9.818715929
Dawakin Tofa,4,4.285361119,2.322628067,1.000796497,4.677442513,9.67823901
Doguwa,3.656125111,4.275712472,2.845675757,1.882704914,3.680116614,9.218946639
Fagge,4,2.261670503,1.088693244,1,5,10
Gabasawa,3.993718102,4.463544538,3.055142133,1.014331354,4.203025515,9.211074971
Garko,3.980545934,4.888904383,3.320210111,1.031431672,4.288302554,9.30028016
Garum Mallam,3.998125416,4.20043423,2.526700839,1.005209389,4.828341116,9.83167592
Gaya,3.969276148,4.630829862,3.263709037,1.025993745,4.255935911,9.251205803
Gezawa,4,3.880994775,2.186183512,1,4.750508252,9.750508252
Gwale,3.98446664,1.788580071,1.008623595,1,5,9.98446664
Gwarzo,3.999116147,4.084644225,2.323994549,1,4.508212993,9.50732914
Kabo,4,4.349735759,2.742288187,1.000239619,4.598627577,9.598867196
Kano Municipal,4,1.66735896,1,1,5,10
Karaye,3.993289748,4.57353002,2.782799131,1.093682033,4.436439826,9.523411606
Kibiya,3.960535043,4.943645861,3.162038219,1.113981064,4.340077058,9.414593164
Kiru,3.958579986,4.707043094,2.823814403,1.38138483,4.2447115,9.584676317
Kumbotso,4,2.658311932,1.35574222,1,4.999760511,9.999760511
Kunchi,3.969035105,4.937718258,3.843371707,1.046270452,3.783432218,8.798737776
Kura,4,4.095793149,2.215016761,1.018269131,4.83252446,9.850793591
Madobi,4,4.147267683,2.283908643,1,4.704934878,9.704934878
Makoda,4,4.575618386,2.956263063,1.001206345,4.627535197,9.628741541
Minjibir,4,4.189478456,2.420439866,1,4.746651573,9.746651573
Nassarawa,4.044545169,2.318442026,1.029593542,1,5,10.04454517
Rano,3.956140452,4.782201987,2.754429516,1.063677157,4.344618081,9.36443569
Rimin Gado,4,4.386346161,2.762478272,1,4.579828801,9.579828801
Rogo,3.957010394,4.354552389,2.281258631,1.466499904,4.091384546,9.514894843
Shanono,3.951879155,4.558280109,2.747262928,1.015304468,3.674721014,8.641904637
Sumaila,4.018038943,4.930748147,3.43458911,1.351974722,3.92194015,9.291953815
Takai,3.955021422,4.711858113,3.184148699,1.018360294,4.17709983,9.150481546
Tarauni,4,2.001231661,1,1,5,10
Tofa,4,4.1334493,2.303213992,1,4.72875056,9.72875056
Tsanyawa,3.996762143,4.589902413,2.673230238,1.010656889,4.221052385,9.228471417
Tudun Wada,3.997866865,4.771692772,2.790239175,1.339614171,4.187872444,9.525353479
Ungongo,3.989434236,3.018315749,1.539034049,1,4.976303753,9.965737989
Warawa,3.98907578,4.532493785,2.812933314,1.013691453,4.235357545,9.238124778
Wudil,4.00004231,4.498646048,2.7123129,1.030336459,4.73164854,9.762027308
Bakori,3.916788573,4.183926802,2.377212964,2.14193393,4.012292894,10.0710154
Batagarawa,3.996028829,4.115828477,2.674900633,1.027138195,4.363316527,9.386483552
Batsari,3.896993856,4.857187331,3.367736011,1.395394936,3.414765573,8.707154365
Baure,4.045811584,4.986229132,3.599078478,1.182654504,3.81915132,9.047617409
Bindawa,3.993891603,4.834960432,3.627385161,1.073833048,4.103238909,9.17096356
Charanchi,3.951005576,4.611675,2.945100558,1.196472683,3.948691022,9.096169281
Dan Musa,3.772060763,4.880452088,3.123451886,2.801164382,3.07066695,9.643892094
Dandume,3.927497194,3.929929834,2.117467139,2.258520207,4.321791313,10.50780871
Danja,3.898701284,4.003295131,2.223621906,2.254442553,3.958914822,10.11205866
Daura,4,4.054259212,3.003659674,1,4.872369484,9.872369484
Dutsi,3.996908178,4.633724661,3.544884258,1.057691123,4.325489818,9.38008912
Dutsin Ma,3.970795103,4.335536388,2.639373725,1.172092476,4.076247357,9.219134936
Faskari,3.785085666,4.590818079,2.568160405,2.322719683,3.103873509,9.211678857
Funtua,3.964756639,3.590204116,1.875747592,1.761083479,4.577153349,10.30299347
Ingawa,3.963462304,4.803721234,3.604036204,1.160309738,3.736211877,8.859983918
Jibia,3.870235251,4.539478723,3.369508444,1.516455996,3.55789468,8.944585927
Kafur,3.823998876,4.371380792,2.216269945,1.794308335,3.620589274,9.238896485
Kaita,3.932141543,4.561715533,4.041061703,1.435939676,3.660418063,9.028499282
Kankara,3.934270303,4.656277637,2.304780242,2.001518773,3.394051009,9.329840085
Kankia,3.899139308,4.495449976,2.727717115,1.222475503,3.548601049,8.670215861
Kurfi,3.964427301,4.827477897,3.148556419,1.305801254,3.435932897,8.706161452
Kusada,3.975014282,4.777288963,3.11740622,1.019110995,3.812727154,8.806852431
Mai'Adua,3.990138142,4.746604225,3.667582009,1.105117338,4.238277818,9.333533298
Malumfashi,3.941155477,4.164435558,2.004941498,1.277741228,3.893605756,9.112502461
Mani,3.984991589,4.80299622,3.769846575,1.044857912,3.919776626,8.949626127
Mashi,3.925704339,4.649605227,3.653241208,1.319453104,3.570026351,8.815183795
Matazu,3.887825655,4.800321961,2.628154121,1.494745773,3.559730429,8.942301857
Muhammadu Dikko Stadium,4,3.085307544,1.708179043,1.00011666,4.96447086,9.96458752
Musawa,3.90176633,4.718554977,2.289695844,1.39139347,3.538943096,8.832102896
Rimi,3.98119909,4.558899412,3.236147496,1.043916462,4.259673884,9.284789437
Sabuwa,3.755164877,4.028667189,2.534522516,3.011301356,3.850940128,10.61740636
Safana,3.80219754,4.954824255,3.637913108,2.336944466,3.057844174,9.19698618
Sandamu,3.998351743,4.646122935,3.62071281,1.007717073,4.536879294,9.54294811
Zango,3.982970041,4.847791901,3.748197432,1.221206773,3.840317191,9.044494005
Abadam,4.072780439,4.990552812,4.604683546,3.323335582,2.746236558,10.14235258
Askira-Uba,3.011954201,4.483140499,4.132059744,2.459050099,2.728569076,8.199573376
Bama,4.031578013,4.877369963,4.873973185,3.603184112,3.649161916,11.28392404
Bayo,3.242659326,4.908908101,3.532407109,1.611110681,3.324235597,8.178005603
Biu,3.149911752,4.249269217,3.435990653,2.36690069,3.727025971,9.243838412
Chibok,2.842644505,4.691122638,4.821698052,1.852025194,2.413158184,7.107827883
Damboa,3.144860741,4.564122088,4.628715597,2.241698008,2.63196873,8.018527479
Dikwa,4.270109649,4.963099235,4.81747702,3.835411055,3.344826516,11.45034722
Gubio,3.602175364,4.925106373,5,3.629240903,2.112750968,9.344167236
Guzamala,3.310225334,5,5,3.646125888,1.783244452,8.739595674
Gwoza,3.837317522,4.636464717,4.004968945,2.171276482,4.060442263,10.06903627
Hawul,2.939196292,4.254024528,3.445974304,2.393561765,3.675848189,9.008606247
Jere,4.071247957,3.601070442,2.477974303,1.441885658,4.77674128,10.2898749
Kaga,3.460383749,4.974189236,5,3.199912374,1.765158738,8.425454862
Kala-Balge,4.297126456,5,4.694363574,4.228296431,3.100724654,11.62614754
Konduga,3.677422806,4.74477166,4.596721849,2.705342854,2.864018841,9.2467845
Kukawa,4.084112252,4.784110668,4.138364288,2.826846423,3.607946943,10.51890562
Kwaya Kusar,3.09773901,4.758524053,3.387545869,1.290025827,3.7488795,8.136644337
Mafa,4.01176402,4.683947285,4.302646021,2.937820544,3.508417466,10.45800203
Magumeri,3.651805622,4.995355226,4.9906735,2.852361853,1.569485558,8.073653033
Maiduguri,4.001850255,2.319709807,1.218060842,1.021131348,4.98798697,10.01096857
Marte,4.278913935,5,4.904360504,3.595303223,2.869101084,10.74331824
Mobbar,3.671142652,4.966327308,4.982458438,3.246004031,2.367665386,9.284812069
Monguno,3.966382952,4.946042484,4.657671132,3.52860084,3.081116446,10.57610024
Ngala,4.411715229,4.76873221,3.903931155,3.494932854,3.891192191,11.79784027
Nganzai,3.407764535,5,4.983406229,3.339800885,1.787916149,8.535481569
Shani,3.485123511,4.889355058,3.760970536,1.618534384,3.632163477,8.735821373
